Index,Dataset,Representative_Subsequence_Positions,DetectTime
23,TSQA,"[100,136],[176,223],[323,343],[403,523],[557,677],[697,756],[762,859],[860,900],[985,1025],[1050,1225],[1244,1412],[1429,1792],[1795,1835],[1905,1945],[2016,2056],[2713,2753],[2764,2804]",1.2875
24,TSQA,"[100,136],[176,223],[327,398],[442,577],[632,742],[1029,1094]",0.752
25,TSQA,"[94,137],[319,361],[434,510],[601,641],[655,695],[704,865],[872,969],[976,1279],[1313,1457],[1482,1522],[1564,1749],[1755,1795],[1806,2048]",0.8206
26,TSQA,"[81,145],[154,225],[303,608],[653,785],[791,831],[846,981],[996,1117],[1129,1195],[1199,1239],[1284,1347]",0.6933
27,TSQA,"[80,120],[255,297],[370,446],[536,651],[675,715],[731,795],[802,873],[876,916],[922,1232],[1245,1285],[1317,1607],[1621,1681],[1694,1763]",0.7009
28,TSQA,"[95,138],[155,195],[285,395],[427,467],[483,618],[621,661],[664,725],[752,1136],[1148,1215],[1219,1259],[1262,1571],[1573,1635],[1649,1689],[1701,1741],[1751,1791],[1795,1835],[1837,2157]",0.8905
29,TSQA,"[98,146],[163,203],[213,307],[327,403],[425,509],[524,624]",0.5244
30,TSQA,"[100,120],[187,243],[275,351],[355,434],[439,479],[537,640],[684,724],[733,773],[793,854],[875,1012],[1050,1395],[1442,1482],[1483,1553],[1566,1606],[1630,1725]",0.6664
31,TSQA,"[81,123],[153,213],[289,640],[666,706],[747,787],[793,905],[952,992],[1019,1113],[1130,1243],[1317,1357],[1362,1402],[1411,1477]",0.6839
32,TSQA,"[88,175],[181,222],[249,289],[290,338],[377,517],[520,853],[880,1012],[1177,1285],[1313,1416]",0.5355
33,TSQA,"[105,217],[319,421],[537,577],[609,801],[804,999],[1015,1149],[1182,1222],[1259,1474],[1486,1962],[1969,2141],[2151,2191],[2206,2246],[2268,2337],[2351,2585],[2716,2889]",1.3316
34,TSQA,"[100,120],[154,194],[207,247],[248,381],[400,440],[485,561],[569,609],[615,738],[749,885],[907,970],[976,1055],[1081,1359],[1386,1701]",0.6661
35,TSQA,"[90,136],[158,494],[513,553],[556,698],[705,787],[816,856],[869,909],[917,995],[1004,1044],[1090,1299],[1301,1378],[1384,1424],[1494,1534]",0.652
36,TSQA,"[100,136],[176,223],[276,395],[473,533],[576,760],[798,842],[900,940],[986,1101],[1110,1150],[1161,1201],[1207,1247],[1249,1317],[1327,1439],[1440,1535],[1577,1676],[1683,1789],[1817,1857],[1885,2122],[2127,2349]",1.0254
37,TSQA,"[115,135],[149,189],[222,262],[266,306],[311,400],[554,574]",0.5064
38,TSQA,"[89,142],[170,294],[383,485],[601,641],[656,741],[750,835],[860,900],[907,978],[1004,1078],[1110,1240],[1248,1547],[1560,1600],[1634,1674],[1686,1888],[2016,2127],[2134,2174],[2184,2247],[2254,2294]",0.9483
39,TSQA,"[100,120],[121,196],[207,381],[400,440],[473,533],[579,619],[638,681],[723,799],[803,882],[887,927],[987,1166],[1173,1334],[1342,1396],[1434,1678],[1682,1779],[1814,1984],[2029,2161],[2164,2257],[2273,2370]",0.9855
40,TSQA,"[138,187],[192,212],[305,401],[407,447],[453,533],[576,760],[768,857],[898,938],[1005,1045],[1053,1093],[1097,1137],[1152,1262],[1267,1616],[1623,1663],[1677,1717],[1743,1913],[1946,2052],[2089,2208],[2216,2334],[2392,2452]",1.1111
41,TSQA,"[89,130],[139,199],[200,525],[579,701],[707,1019],[1020,1190],[1193,1233],[1240,1280],[1308,1493],[1498,1538],[1546,1638],[1641,1681],[1683,1750],[1768,1920],[1947,2254]",1.0341
42,TSQA,"[93,137],[145,185],[217,457],[477,517],[523,603],[625,789],[813,873],[882,949],[955,1109],[1122,1226],[1253,1293],[1297,1337],[1369,1709]",0.6649
43,TSQA,"[80,120],[255,296],[372,451],[530,570],[576,596],[656,696],[704,859],[876,1027],[1053,1113],[1126,1166],[1555,1595],[1829,1869],[1929,2113],[2131,2242]",0.9164
44,TSQA,"[100,120],[144,183],[184,401],[453,677],[697,759],[762,859],[860,927],[985,1025],[1080,1460],[1474,1517],[1549,1613],[1625,1700],[1723,1818],[1819,2093],[2140,2180],[2192,2366]",0.992
45,TSQA,"[89,191],[219,377],[410,527],[551,727],[731,873],[879,919],[938,1038],[1052,1237],[1243,1361],[1385,1425],[1427,1494],[1506,1731]",0.6725
46,TSQA,"[82,163],[218,258],[282,329],[356,396],[773,909],[1604,1696],[1707,1747],[1785,1851]",0.7759
47,TSQA,"[111,151],[161,223],[247,321],[342,413],[414,528],[549,643],[834,874],[907,947],[949,1092],[1133,1249],[1281,1417]",0.5401
48,TSQA,"[106,146],[163,223],[249,322],[328,389],[393,453],[457,533],[551,919],[938,1375],[1388,1428],[1515,1672],[1676,1716]",0.6984
49,TSQA,"[138,187],[192,212],[444,514],[543,583],[601,656],[712,799],[818,887],[912,952],[954,1037],[1109,1206],[1217,1315],[1326,1366],[1371,1652],[1684,1854],[1893,1933],[1936,2041],[2060,2210],[2213,2253]",0.9288
50,TSQA,"[111,227],[249,341],[349,389],[404,444],[448,525],[531,744],[792,1268]",0.4746
51,TSQA,"[110,130],[131,212],[215,290],[294,367],[437,477],[1272,1312],[1319,1501],[1514,1766],[1816,1856],[1872,1997]",0.8348
52,TSQA,"[89,129],[550,590],[601,665],[1107,1147],[1183,1223],[1236,1276],[1662,1702],[1748,1788]",0.725
53,TSQA,"[93,134],[153,193],[665,727],[1181,1295],[1297,1337]",0.505
54,TSQA,"[94,171],[187,213],[323,385],[408,448],[456,496],[510,530],[547,646],[647,721],[746,896],[901,941],[953,1053],[1073,1201],[1240,1401],[1410,1552],[1720,1798],[1801,1873],[1939,1979]",0.7649
55,TSQA,"[81,130],[153,193],[215,401],[406,536],[545,597],[615,1039],[1051,1506],[1526,1566],[1576,1616],[1634,1762],[1765,1805]",0.6968
56,TSQA,"[81,195],[223,272],[320,583],[644,684],[729,796],[807,980],[1001,1218],[1230,1424],[1425,1669],[1678,1846],[1881,1921],[1955,2081],[2082,2180],[2385,2425]",1.1387
57,TSQA,"[94,258],[302,342],[343,422],[441,589],[591,631],[653,812],[813,853],[854,894],[895,963],[989,1415],[1439,1650]",0.735
58,TSQA,"[100,120],[144,381],[465,771],[782,822],[834,1070],[1073,1615],[1627,1972],[1982,2177],[2201,2576]",1.1489
59,TSQA,"[100,120],[144,183],[204,253],[439,459],[479,545],[669,689],[1173,1393],[1411,1563],[1624,1664],[1694,1789]",0.677
60,TSQA,"[100,120],[153,213],[394,434],[437,567],[640,731],[743,783],[806,1127],[1137,1259],[1273,1336],[1359,1399],[1409,1470],[1502,1597]",0.5971
61,TSQA,"[94,182],[211,258],[281,376],[386,536],[544,757],[769,912],[914,979],[998,1099]",0.4985
62,TSQA,"[81,134],[153,193],[195,358],[428,526],[688,728],[736,973]",0.3822
63,TSQA,"[93,135],[175,498],[516,682],[684,724],[733,793],[802,1094],[1174,1339],[1367,1601],[1668,1729],[1764,1885],[1897,1963],[1970,2136],[2201,2279]",0.9844
64,TSQA,"[109,129],[197,217],[250,282],[304,372],[374,489],[490,570]",0.3069
65,TSQA,"[92,247],[255,315],[346,386],[406,446],[447,516],[520,667],[688,914],[916,1175],[1180,1365],[1367,1482],[1513,1553],[1555,1662],[1694,1734],[1799,1839]",0.7302
66,TSQA,"[89,129],[549,680],[689,729],[739,855],[1005,1103],[1129,1346],[1380,1592],[1597,1660],[1661,1858],[1863,1903]",0.7646
67,TSQA,"[110,149],[264,351],[365,468],[472,512],[514,554],[601,677],[683,1096],[1103,1452]",0.6277
68,TSQA,"[80,122],[140,180],[217,257],[280,390],[392,432],[433,473],[487,527],[555,628],[641,706],[720,846]",0.4757
69,TSQA,"[100,120],[156,177],[207,227],[248,290],[318,451],[464,513],[530,606],[664,704],[721,1050],[1066,1308],[1313,1455],[1465,1598],[1637,1677],[1680,1872],[1887,1927],[1955,2027]",0.8371
70,TSQA,"[100,120],[156,196],[207,464],[469,532],[729,771],[820,860],[888,928],[986,1061],[1162,1227],[1242,1402],[1429,1559],[1590,1630],[1636,1746],[1754,1794],[1824,1929],[2004,2044],[2058,2181],[2183,2562]",1.119
71,TSQA,"[80,132],[134,371],[393,490],[518,616],[707,747],[808,882],[916,1125],[1184,1224]",0.4614
72,TSQA,"[100,120],[156,533],[540,700],[729,974],[988,1158],[1167,1384],[1389,1496],[1497,1559],[1582,1622],[1628,1786],[1796,1983],[2005,2045],[2048,2368]",1.1383
73,TSQA,"[100,136],[176,223],[444,513],[537,597],[598,638],[641,681],[774,1018],[1023,1124],[1146,1186],[1197,1237],[1241,1281]",0.4875
74,TSQA,"[100,172],[174,216],[537,577],[597,660],[664,977],[993,1167],[1176,1216]",0.4642
75,TSQA,"[89,142],[170,294],[383,485],[603,745],[746,1021],[1111,1254],[1259,1299],[1338,1378]",0.5302
76,TSQA,"[109,149],[196,324],[335,460],[475,533],[551,919],[938,978],[985,1045],[1105,1168],[1194,1254],[1272,1334],[1339,1409],[1501,1541]",0.6171
77,TSQA,"[100,120],[156,196],[207,381],[400,440],[468,513],[542,661],[767,900],[1002,1080],[1090,1364],[1383,1550],[1563,1751],[1770,1810],[1831,1922],[1956,2082],[2088,2154],[2164,2307]",1.1102
78,TSQA,"[100,136],[176,223],[323,343],[447,526],[528,569],[599,661],[1115,1155],[1287,1347],[1439,1502],[1561,1628],[1759,1803],[1804,1844],[1882,2057]",0.8262
79,TSQA,"[89,129],[143,200],[220,284],[347,443],[491,532],[557,701],[706,768],[779,819],[831,937],[955,1171],[1175,1250],[1256,1332],[1380,1685],[1698,1803],[1819,1859],[1879,1975]",0.8189
80,TSQA,"[100,120],[255,297],[370,446],[537,577],[610,788],[793,858],[923,1016],[1019,1059],[1060,1354],[1356,1784],[1812,1932]",0.7589
81,TSQA,"[92,251],[281,524],[526,710],[719,789],[790,830],[840,903],[904,944],[986,1149],[1158,1285],[1289,1486]",0.5621
82,TSQA,"[100,120],[144,183],[184,301],[302,401],[435,677],[697,759],[762,859],[860,927],[989,1033],[1071,1278],[1308,1409],[1419,1752],[1759,1919],[2001,2347],[2352,2392],[2461,2632]",1.22
83,TSQA,"[104,144],[146,214],[249,320],[351,427],[428,468],[469,558],[604,667],[689,750],[752,792],[812,1133],[1162,1242],[1308,1348],[1351,1522],[1527,1676],[1706,1792]",0.6875
84,TSQA,"[93,182],[217,258],[298,422],[511,613],[729,776],[797,961],[985,1045],[1052,1162],[1165,1505],[1509,1645],[1648,1688],[1722,1832],[1843,1940],[1941,2083],[2144,2184],[2200,2240],[2250,2581],[2586,2626]",1.1636
85,TSQA,"[100,136],[176,223],[304,416],[442,482],[485,580],[603,643],[645,797],[806,952],[964,1037],[1070,1170],[1194,1234],[1255,1422],[1435,1623],[1635,1675],[1696,1736],[1744,1855],[1892,2013],[2024,2091],[2100,2264],[2328,2389]",1.0859
86,TSQA,"[138,187],[192,212],[357,397],[411,451],[494,534],[537,597],[605,645],[668,938],[940,1000],[1029,1090],[1094,1166],[1175,1215],[1229,1634],[1636,1676]",0.7091
87,TSQA,"[100,120],[144,312],[318,422],[430,470],[473,513],[530,704],[729,769],[794,969],[987,1027],[1042,1133],[1155,1344],[1359,1440],[1447,1604],[1608,1747],[1754,1886]",0.8238
88,TSQA,"[86,172],[174,216],[463,503],[537,663],[665,785],[816,1026],[1038,1232],[1253,1293],[1299,1339],[1346,1443],[1456,1550],[1557,1630],[1640,1702],[1752,1858]",0.7296
89,TSQA,"[94,147],[332,379],[436,476],[504,544],[602,677],[690,710],[803,843],[858,898],[925,1021],[1036,1548],[1678,1718]",0.6616
90,TSQA,"[100,120],[268,314],[372,412],[440,480],[538,758],[760,821],[845,885],[890,1106],[1120,1181],[1211,1251],[1252,1292]",0.5298
91,TSQA,"[100,120],[156,885],[887,1035],[1054,1224],[1263,1613],[1932,1972]",0.9675
92,TSQA,"[81,122],[153,193],[207,247],[249,354],[409,449],[508,599],[613,653],[691,852],[854,894],[895,935],[939,1001],[1041,1105],[1130,1190],[1196,1270],[1274,1314],[1353,1715],[1748,1855],[1859,1951]",0.8539
93,TSQA,"[100,136],[176,223],[493,560],[570,637],[668,785],[791,856],[857,897],[910,1083],[1084,1301],[1304,1441],[1460,1549],[1569,1629],[1630,1670]",0.6343
94,TSQA,"[100,120],[249,326],[372,412],[440,480],[538,578],[579,681],[689,749],[790,894],[924,1015],[1026,1195],[1624,1664],[1683,1773],[1935,1997],[2038,2321],[2390,2451],[2462,2557]",1.1153
95,TSQA,"[100,120],[124,148],[226,247],[346,406],[428,468],[469,509],[559,739],[744,894],[923,1089]",0.4349
96,TSQA,"[100,136],[176,223],[323,343],[475,531],[602,642],[703,762],[854,894],[984,1024],[1080,1187],[1391,1464],[1477,1661],[1674,1714],[1734,1809],[1812,1872],[1875,1915],[1920,2010],[2014,2076],[2176,2236],[2248,2288]",1.0863
97,TSQA,"[100,120],[144,183],[204,253],[439,513],[2006,2046]",0.9121
98,TSQA,"[100,120],[139,235],[249,300],[314,411],[412,452],[537,577],[633,673],[687,1043],[1049,1141],[1146,1272],[1275,1315],[1317,1387],[1394,1610],[1615,1682],[1699,1739],[1756,1817],[1830,1902],[1924,2004]",0.8666
99,TSQA,"[100,120],[186,227],[311,351],[356,434],[439,479],[539,579],[594,833],[844,1021],[1025,1065],[1084,1284],[1295,1407]",0.5415
100,TSQA,"[128,149],[308,375],[400,440],[442,531],[611,729],[752,962],[974,1136],[1150,1223],[1226,1294],[1317,1545]",0.5882
