Index,Task,Dataset,Method,InputTokens,OutputTokens,Cost,TotalTime,ResponseFile,LogTime
33,UNDERSTANDING,TSQA,Inf-LLM,2022,27,0.0020759999999999,2.6360812187194824,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
34,UNDERSTANDING,TSQA,Inf-LLM (+v),2022,26,0.002074,7.902686834335327,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
35,UNDERSTANDING,TSQA,InfTS-LLM,2391,35,0.002461,3.6879279613494873,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
36,UNDERSTANDING,TSQA,InfTS-LLM (+v),2391,35,0.002461,8.614285230636597,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/TSQA/predict-TSQA/predict_response.log,2025/9/15 3:57
37,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,9.32947826385498,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:53
38,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,4.308536052703857,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:53
39,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.719405174255371,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:53
40,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.763127088546753,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
41,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.365812063217163,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
42,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.6038899421691895,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
43,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.305494070053101,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
44,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,5.579333066940308,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
45,PREDICTION,Finance_sp500,TimeCAP,307,8,0.000323,4.268487930297852,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
46,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,9.656694173812866,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
47,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,5.931704044342041,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
48,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,4.507092237472534,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
49,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,5.760540008544922,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:54
50,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,5.716839790344238,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
51,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,6.280332088470459,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
52,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,5.595917701721191,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
53,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,4.854736089706421,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
54,PREDICTION,Finance_sp500,InfTS-LLM,469,10,0.000489,5.882793188095093,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
55,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,12.945703744888306,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
56,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,11.912577867507936,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:55
57,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,13.89370608329773,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:56
58,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,12.783348083496094,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:56
59,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,12.810516119003296,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:56
60,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,13.008124113082886,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:56
61,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,12.250182867050173,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:56
62,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,13.357869863510132,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:57
63,PREDICTION,Finance_sp500,InfTS-LLM (+v),469,10,0.000489,10.500669956207275,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_sp500/predict-Finance_sp500/predict_response.log,2025/9/15 3:57
64,PREDICTION,Weather_ny,TimeCAP,224,11,0.000246,1.8576431274414065,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:57
65,PREDICTION,Weather_ny,TimeCAP,224,11,0.000246,1.8518638610839844,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:57
66,PREDICTION,Weather_ny,TimeCAP,224,11,0.000246,1.7737040519714355,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:57
67,PREDICTION,Weather_ny,TimeCAP,224,11,0.000246,1.6899399757385254,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:57
68,PREDICTION,Weather_ny,TimeCAP,224,11,0.000246,1.744646072387695,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
69,PREDICTION,Weather_ny,InfTS-LLM,386,13,0.000412,1.8774168491363523,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
70,PREDICTION,Weather_ny,InfTS-LLM,386,13,0.000412,1.792302131652832,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
71,PREDICTION,Weather_ny,InfTS-LLM,386,13,0.000412,1.98294997215271,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
72,PREDICTION,Weather_ny,InfTS-LLM,386,13,0.000412,2.1105892658233643,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
73,PREDICTION,Weather_ny,InfTS-LLM,386,13,0.000412,1.97107195854187,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
74,PREDICTION,Weather_ny,InfTS-LLM (+v),386,13,0.000412,7.395431995391846,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
75,PREDICTION,Weather_ny,InfTS-LLM (+v),386,13,0.000412,6.3507399559021,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
76,PREDICTION,Weather_ny,InfTS-LLM (+v),386,15,0.000416,7.39600682258606,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
77,PREDICTION,Weather_ny,InfTS-LLM (+v),386,13,0.000412,6.066275119781494,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
78,PREDICTION,Weather_ny,InfTS-LLM (+v),386,13,0.000412,6.697317123413086,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_ny/predict-Weather_ny/predict_response.log,2025/9/15 3:58
79,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,7.938072919845581,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:58
80,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,4.269027233123779,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:58
81,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,5.37939977645874,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
82,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,4.2312188148498535,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
83,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,5.626034259796143,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
84,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,6.143237113952637,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
85,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,4.354552745819092,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
86,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,5.901341915130615,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
87,PREDICTION,Finance_nikkei,TimeCAP,307,8,0.000323,5.501224756240845,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
88,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,8.097697734832764,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
89,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,4.418447971343994,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
90,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,4.56163477897644,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
91,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,5.612559080123901,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 3:59
92,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,4.375143051147461,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
93,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,5.389764785766602,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
94,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,5.698837995529175,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
95,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,5.918648958206177,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
96,PREDICTION,Finance_nikkei,InfTS-LLM,469,10,0.000489,5.89619779586792,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
97,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,12,0.000493,12.721208095550535,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
98,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,10.780611038208008,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:00
99,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,11.648330926895142,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:01
100,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,12.397390127182009,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:01
101,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,12.047052145004272,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:01
102,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,11.46829605102539,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:01
103,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,12.269011974334717,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:01
104,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,12.904869079589844,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:02
105,PREDICTION,Finance_nikkei,InfTS-LLM (+v),469,10,0.000489,11.314095973968506,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Finance_nikkei/predict-Finance_nikkei/predict_response.log,2025/9/15 4:02
106,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,3.077908992767334,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:38
107,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,2.857771873474121,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:38
108,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,3.099972009658813,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:38
109,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,2.758216857910156,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:38
110,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,3.044311046600342,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:38
111,PREDICTION,Healthcare_positive,TimeCAP,315,23,0.000361,3.0962958335876465,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
112,PREDICTION,Healthcare_positive,InfTS-LLM,477,25,0.000527,3.0856528282165527,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
113,PREDICTION,Healthcare_positive,InfTS-LLM,477,19,0.000515,3.0680530071258545,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
114,PREDICTION,Healthcare_positive,InfTS-LLM,477,21,0.000519,2.79435396194458,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
115,PREDICTION,Healthcare_positive,InfTS-LLM,477,21,0.000519,2.739233016967773,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
116,PREDICTION,Healthcare_positive,InfTS-LLM,477,24,0.000525,2.589958906173706,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
117,PREDICTION,Healthcare_positive,InfTS-LLM,477,21,0.000519,2.5681331157684326,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
118,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,14,0.000505,6.584538221359253,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
119,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,18,0.000513,6.439656019210815,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
120,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,18,0.000513,5.071257829666138,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
121,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,16,0.000509,4.957727909088135,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
122,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,21,0.000519,5.914810180664063,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
123,PREDICTION,Healthcare_positive,InfTS-LLM (+v),477,14,0.000505,5.599503040313721,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Healthcare_positive/predict-Healthcare_positive/predict_response.log,2025/9/15 4:39
124,PREDICTION,Weather_sf,TimeCAP,224,11,0.000246,1.8295626640319824,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:39
125,PREDICTION,Weather_sf,TimeCAP,224,11,0.000246,1.807672977447509,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:39
126,PREDICTION,Weather_sf,TimeCAP,224,11,0.000246,1.7856531143188477,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:39
127,PREDICTION,Weather_sf,TimeCAP,224,11,0.000246,1.9085040092468264,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
128,PREDICTION,Weather_sf,TimeCAP,224,11,0.000246,1.8388328552246087,/Users/leeway/PycharmProjects/InfTS-LLM/datasets/Weather_sf/predict-Weather_sf/predict_response.log,2025/9/15 4:40
