Index,Dataset,Representative_Subsequence_Positions,DetectTime
121,QATS-4,,0.0539
122,QATS-4,"[101,126],[194,214],[235,255]",0.2032
123,QATS-4,"[100,120],[184,257],[339,379],[424,464],[473,513]",0.3229
124,QATS-4,"[100,120]",0.096
125,QATS-4,,0.0542
126,QATS-4,"[102,126],[159,226],[228,311],[323,363],[379,470],[472,512],[631,671],[726,766],[777,845]",0.4527
127,QATS-4,"[140,160],[222,269]",0.161
128,QATS-4,"[100,147],[188,276],[453,513],[514,597],[601,661],[676,716],[717,885],[911,1039]",0.4549
129,QATS-4,"[88,149],[185,265],[472,512]",0.2496
130,QATS-4,"[90,130],[131,259],[291,385],[423,599],[627,667],[680,720],[747,809],[814,854],[878,918],[932,1024],[1063,1103],[1111,1151]",0.4646
131,QATS-4,"[127,167],[192,257]",0.1983
132,QATS-4,,0.0521
133,QATS-4,"[127,170],[209,249],[262,333],[341,406],[407,447],[449,512],[605,645]",0.3976
134,QATS-4,"[135,185],[217,257],[263,467],[492,586],[590,651],[665,786],[984,1088]",0.4308
135,QATS-4,,0.0525
136,QATS-4,"[100,126],[216,256]",0.1685
137,QATS-4,"[170,220],[221,318],[322,362],[365,462],[474,514],[978,1058],[1126,1166]",0.458
138,QATS-4,"[88,129],[145,243],[273,313],[326,366],[453,543],[551,591],[684,724],[739,779],[780,844]",0.3921
139,QATS-4,"[127,167],[213,259],[448,488],[674,738],[742,782]",0.438
140,QATS-4,"[100,120]",0.0923
141,QATS-4,,0.0536
142,QATS-4,"[102,122]",0.0943
143,QATS-4,"[85,125],[217,257]",0.1671
144,QATS-4,"[135,185],[217,257],[266,331],[492,532],[541,581]",0.3243
145,QATS-4,"[100,120],[142,162],[175,195],[235,256]",0.2379
146,QATS-4,"[86,133],[215,255]",0.1646
147,QATS-4,"[86,151],[164,204],[216,256]",0.2841
148,QATS-4,"[154,203],[230,260]",0.2095
149,QATS-4,"[102,128],[178,206],[226,259],[295,315],[470,510],[561,636]",0.3188
150,QATS-4,"[127,167],[213,276]",0.1614
151,QATS-4,"[121,157],[231,303],[317,385],[401,462],[468,508]",0.3364
152,QATS-4,"[100,120]",0.1312
153,QATS-4,"[103,123],[172,192],[256,276],[418,458],[478,589],[597,643],[647,744]",0.3784
154,QATS-4,"[100,122],[134,154],[236,256]",0.2794
155,QATS-4,"[100,128],[242,271],[479,516],[914,934],[958,1088]",0.4476
156,QATS-4,"[163,183],[194,214],[241,264]",0.2008
157,QATS-4,"[86,126],[131,226],[227,320],[448,565]",0.2873
158,QATS-4,"[154,191],[232,272],[276,316],[397,457],[472,512]",0.3315
159,QATS-4,"[163,183],[194,214],[216,256]",0.2737
160,QATS-4,"[83,133],[217,257],[340,406],[448,512]",0.2963
161,QATS-4,"[109,176],[198,290],[387,427],[482,553],[557,597],[603,643],[667,778]",0.3951
162,QATS-4,"[80,146],[223,263],[476,543],[673,733],[747,787]",0.3849
163,QATS-4,"[100,120]",0.0978
164,QATS-4,"[103,126],[160,511],[515,555]",0.2461
165,QATS-4,,0.055
166,QATS-4,"[89,129],[236,267],[490,510]",0.3757
167,QATS-4,"[154,174],[230,294],[468,532],[548,588]",0.2856
168,QATS-4,"[100,120],[160,200],[205,265],[467,507]",0.2951
169,QATS-4,"[100,126],[233,273],[397,437],[472,512],[534,616],[626,744],[747,809],[813,889]",0.3888
170,QATS-4,"[119,153],[231,271]",0.2099
171,QATS-4,,0.0563
172,QATS-4,,0.0543
173,QATS-4,"[100,120]",0.0988
174,QATS-4,"[167,187],[222,262]",0.2374
175,QATS-4,"[84,124],[222,262]",0.1687
176,QATS-4,"[80,120],[182,256],[403,464],[483,523]",0.2933
177,QATS-4,"[187,207],[235,277],[302,342],[371,411],[481,521]",0.3345
178,QATS-4,"[100,120],[130,150],[177,217],[224,264]",0.2895
179,QATS-4,"[211,301],[317,385],[401,513],[565,605],[638,838]",0.3713
180,QATS-4,"[109,178],[218,258]",0.2426
181,QATS-4,"[90,168],[181,257],[424,464],[465,525]",0.2925
182,QATS-4,,0.0532
183,QATS-4,"[100,120],[142,163]",0.1618
184,QATS-4,"[188,208],[225,324],[337,377],[386,513],[572,644]",0.3257
185,QATS-4,"[80,142],[224,267],[416,456],[485,532],[538,598],[601,685],[692,732],[733,773],[807,847],[853,893]",0.3825
186,QATS-4,"[127,167],[223,264]",0.1632
187,QATS-4,"[127,167],[193,361],[362,482],[486,526],[534,680],[701,767]",0.4621
188,QATS-4,"[200,228],[229,249]",0.1609
189,QATS-4,"[106,126],[155,175],[176,216],[230,303],[317,357],[365,462],[467,507],[573,643],[680,720],[722,788]",0.3925
190,QATS-4,"[127,167],[208,248],[265,305]",0.2028
191,QATS-4,,0.052
192,QATS-4,"[103,123],[228,260],[470,532]",0.2488
193,QATS-4,"[131,151],[230,270],[331,371]",0.2099
194,QATS-4,"[100,120]",0.1769
195,QATS-4,"[100,120],[242,262]",0.1665
196,QATS-4,"[100,120],[218,245]",0.1574
197,QATS-4,,0.055
198,QATS-4,"[86,126],[131,314],[332,428],[439,499]",0.2918
199,QATS-4,"[100,120],[168,188],[217,257]",0.2083
200,QATS-4,"[100,146],[188,251]",0.1674
201,QATS-4,"[217,257],[511,555],[749,777],[801,821],[1204,1224],[1262,1283],[2531,2571],[2837,2922],[2925,3076],[3172,3212],[3217,3257],[3287,3327],[3372,3551],[3579,3718],[3722,3788],[4313,4437],[4449,4489],[4498,4538],[5850,5890],[5947,5987],[6066,6106],[6145,6185],[6625,6665],[7401,7441],[7902,8122],[8158,8198],[8812,8890],[9087,9127],[9436,9502],[9524,9564],[9571,9611],[9704,9744],[9755,9886],[9951,9991],[10988,11064],[11070,11166],[11212,11272],[11319,11359],[11369,11409],[11411,11451],[11481,11521],[11994,12034],[12089,12161],[12173,12213],[13031,13071],[13429,13469],[13568,13645],[13648,13688],[13689,13782],[13786,13826],[13877,13975],[14112,14818],[14825,14848],[15065,15157],[15189,15285],[15564,15604],[16011,16051],[16062,16135],[16267,16338],[16369,16409],[16475,16567],[16581,16642],[16659,16727],[17758,17819],[18003,18100],[18410,18530],[18543,18583],[18595,18635],[19006,19178],[19200,19240],[19265,19414],[19517,19585],[19818,19858],[19940,19989],[20313,20353],[20780,20820],[21465,21485],[21508,21548],[21566,21781],[23295,23358],[23777,23870],[23878,23941],[23948,23988],[23990,24030],[24039,24079],[27001,27072],[27081,27121],[27123,27163],[27615,27686],[27718,27758],[27773,27813],[27834,27874],[28125,28165],[28173,28213],[28230,28302]",70.6045
202,QATS-4,"[88,128],[212,252],[876,994],[1004,1044],[1049,1089],[2827,2867],[2971,3079],[3081,3157],[5100,5140],[5604,5847],[5868,5908],[7129,7169],[7188,7263],[7284,7345],[7356,7437],[10211,10251],[10430,10506],[10944,11013],[11175,11536],[11752,11916],[12249,12313],[12319,12380],[12404,12501],[12582,12750],[12757,12797],[12871,12959],[13053,13093],[13113,13153],[13155,13195],[13209,13411],[13422,13498],[13781,13846],[13875,13915],[13916,14020],[14039,14136],[14174,14238],[14287,14359],[14572,14612],[14616,14656],[15095,15135],[15214,15254],[15320,15412],[15428,15543],[15568,15608],[15671,15803],[15825,15891],[16325,16385],[16435,16659],[17372,17412],[17430,17470],[17626,17696],[17762,17802],[17815,17880],[17962,18002],[18024,18173],[18632,18782],[18789,18851],[18864,18951],[19341,19381],[19459,19499],[19537,19577],[19582,19622],[19641,19710],[19714,19850],[19858,19979],[20105,20165],[20194,20302],[20323,20363],[20367,20407],[20684,20724],[20929,21114],[21157,21197],[21210,21250],[21289,21329],[21412,21452],[21787,21827],[21858,21898],[21902,21942],[21949,22018],[22412,22452],[22511,22551],[22655,22695],[22716,22849],[22891,22969],[23272,23312],[23344,23384],[23408,23448],[23474,23514],[24017,24084],[24642,24682],[24987,25027],[25134,25244],[25259,25338],[25360,25400],[25485,25525],[25674,25748],[25924,25964],[26310,26350],[26371,26411],[26555,26595],[26602,26642],[26851,26891],[27115,27292]",75.8283
203,QATS-4,"[100,120],[845,865],[962,1002],[2265,2297],[3071,3091],[5072,5140],[10309,10369],[11311,11351],[15065,15105],[15107,15147],[15291,15381],[15613,15633],[16648,16688],[16858,16898],[16907,16982],[16994,17034],[17043,17083],[17126,17166],[17277,17317],[17349,17441],[17487,17527],[17533,17664],[17668,17708],[17710,17750],[17768,17808],[17811,17874],[17900,17940],[18149,18339],[18347,18476],[18509,18667],[20652,20692],[20696,20736],[20784,20824]",37.733
204,QATS-4,"[217,257],[440,480],[483,532],[962,1002],[3033,3073],[3107,3171],[3175,3215],[3219,3321],[3958,4018],[4313,4358],[4366,4456],[4481,4625],[5085,5182],[5312,5377],[5385,5425],[5528,5568],[5570,5610],[5648,5688],[5783,5823],[5829,5889],[5890,5971],[5976,6081],[6086,6187],[6360,6420],[6621,6661],[6808,6848],[6892,6968],[7073,7142],[7149,7189],[7194,7234],[7330,7400],[7403,7443],[7658,7733],[7941,7981],[8096,8136],[8179,8256],[8386,8426],[8437,8477],[8684,8724],[8936,9016],[9044,9084],[9105,9145],[9146,9186],[9716,9756],[9771,9811],[9888,9985],[10011,10051],[10054,10094],[10100,10199],[10221,10285]",10.4689
205,QATS-4,"[100,120],[128,149],[1002,1022],[1137,1157],[2288,2309],[3289,3310],[4825,4885],[5051,5091],[5099,5140],[5481,5501],[6201,6274],[6285,6325],[6362,6429],[6431,6586],[6627,6667],[6711,6751],[6761,6801],[6803,6843],[6875,6915],[7401,7441],[8594,8634],[8666,8706],[8723,8797],[8798,8862],[8892,8961],[10227,10267],[10292,10332],[10339,10379],[10476,10516],[10622,10662],[11413,11453],[11462,11513],[11559,11731],[11735,11778],[13275,13355],[13400,13619],[13670,13765],[13786,13895],[13907,14121],[14142,14262],[14268,14372],[14382,14422],[14425,14529],[14530,14825],[14836,14876],[14878,14999],[15060,15100],[15339,15495],[16372,16412]",27.1443
206,QATS-4,"[100,120],[361,381],[1002,1023],[1775,1795],[3583,3604],[5125,5145],[5593,5688],[5700,5763],[5820,5860],[6361,6405],[7525,7621],[7623,7720],[7728,7813],[7815,7986],[7987,8027],[8043,8083],[8091,8186],[10970,11010],[11022,11137],[11147,11209],[11244,11284],[11451,11540],[12541,12581],[12783,12848],[13083,13107],[13165,13308],[13541,13651],[13713,13863],[13878,14034],[14039,14099],[14299,14339],[14401,14546],[14555,14648],[14676,14775],[14787,14849],[14857,14923],[14963,15079],[15111,15201],[15202,15296],[15340,15443],[15475,15637],[15646,15789],[15794,15875],[16371,16436],[16858,16918],[16944,16984],[16990,17060],[17074,17114],[18140,18180],[18731,18902],[18906,18946],[19935,20027],[20036,20123],[20185,20225],[20309,20393],[21133,21255],[21257,21297],[21373,21413],[21487,21527],[21532,21572],[21593,21633],[21643,21683],[21696,21759],[21761,21868],[21996,22036],[22858,22939],[23146,23220],[23531,23657],[23677,23759],[24148,24315],[24317,24534],[24636,24697],[24904,24944],[24951,24991],[25047,25088],[25408,25448],[25578,25618],[26121,26161],[26167,26207],[26256,26296],[26334,26374],[26651,26712],[26725,26765],[26808,26866],[27022,27062],[27864,27925],[27944,27984],[28669,28760],[29054,29094],[29126,29166],[29201,29241],[29642,29682],[29706,29827]",89.5297
207,QATS-4,"[100,120],[361,381],[1002,1023],[1775,1795],[3583,3604],[5125,5145],[5611,5688],[5701,5763],[5820,5860],[6362,6402],[7145,7185],[7667,7729],[7761,7838],[7917,7957],[8594,8634],[8831,8871],[9213,9253],[9451,9565],[9569,9630],[9682,9722],[10732,10910],[10985,11055],[11064,11104],[11113,11153],[11157,11197],[11772,11812],[11844,11942],[12781,12821],[13315,13355],[13358,13378],[13380,13588],[14809,14871],[14877,14945],[14946,15023],[15056,15116],[17875,17921],[18110,18187],[18599,18639],[18642,18688],[18949,18989],[19042,19082],[19246,19437],[19465,19505],[19522,19584],[19630,19670],[19691,19755],[19928,19968],[20088,20128],[20172,20212],[20221,20284],[20306,20346],[20357,20397],[20426,20493],[20506,20572],[20677,20717],[20737,20777],[20880,20943],[20972,21012],[21023,21083],[21092,21208],[21217,21277],[21465,21505],[21508,21770],[21783,21823]",53.256
208,QATS-4,"[217,257],[512,533],[1535,1556],[3816,3968],[3971,4090],[5051,5077],[5849,5889],[6141,6181],[6223,6318],[6322,6362],[6379,6419],[6928,7040],[7189,7229],[7408,7463],[7492,7552],[7564,7604],[7612,7692],[8428,8468],[9211,9280],[9452,9492],[9757,9818],[10717,10828],[10846,10886],[10918,10958],[11486,11572],[12108,12148],[12762,12802],[12813,12853],[12858,12929],[12934,13017],[13792,13832],[13847,13968],[13971,14034],[14301,14341],[14597,14659],[14660,14818],[14819,15171],[15493,15743],[15748,15984],[16341,16409],[16645,16685],[16880,16920],[17196,17236],[17349,17410],[17414,17454],[17506,17546],[17555,17595],[17617,17684],[17859,17899],[18279,18319],[18651,18691],[18705,18785],[18816,18856],[18876,18916],[18923,18963],[19397,19437],[19438,19458],[19694,19749],[19763,19803],[19804,19909],[19926,19987],[20477,20643],[20657,20697],[20712,20757],[21379,21419],[21818,21858],[22060,22100],[22213,22253],[22258,22327],[22328,22458],[22460,22500],[22508,22548],[22868,22908],[23008,23077],[23092,23237],[23257,23317],[23400,23480],[23512,23552],[23571,23611],[23623,23799],[24030,24129],[24135,24219],[24770,24830],[25808,25872],[26695,26735],[26747,26809],[26853,26893],[27144,27204],[27205,27282],[27320,27360],[27391,27431],[27452,27530],[27570,27610],[27693,27753],[27771,28143],[28167,28239],[28249,28289],[28613,28653],[29400,29483],[32282,32322],[32335,32398]",105.9498
209,QATS-4,"[100,120],[206,226],[471,532],[740,760],[836,856],[1003,1023],[2009,2029],[2193,2277],[2529,2569],[3564,3606],[3612,3652],[3677,3717],[3776,3816],[3817,3857],[4825,4900],[5059,5099],[5611,5653],[5931,5971],[5977,6017],[6081,6121],[6144,6184],[6454,6524],[7129,7149],[7176,7216],[7230,7297],[7319,7396],[7405,7465],[7587,7627],[8961,9001],[9002,9042],[9440,9734],[13279,13350],[13478,13538],[13789,13829],[13833,13873],[13908,13968],[13969,14038],[14040,14101],[14103,14123],[14306,14337],[14339,14402],[14403,14645],[14653,14693],[14891,14931],[15095,15135],[15444,15652],[15656,15728],[15851,15891],[16063,16103],[16767,16807],[17107,17224],[17251,17291],[17299,17339],[17368,17449],[17451,17491],[17571,17611],[18040,18080],[18395,18435],[18442,18590],[18618,18689],[19141,19193],[19413,19453],[19454,19494],[19507,19547],[19548,19653],[19672,19731],[19994,20034],[20098,20138],[20176,20387],[20401,20441],[20453,20501],[20643,20683],[20763,20803],[20883,20923],[21054,21094],[21135,21175],[21344,21384],[21778,21864],[21957,22071],[22072,22112],[22142,22202],[22253,22293],[22612,22652],[22732,22772],[22773,22833],[22836,22981],[23001,23041],[23080,23120],[23145,23185],[23256,23296],[23323,23518],[23532,23573],[23754,23814],[23818,23858],[23876,23916],[24245,24285],[24930,24970],[24978,25018]",53.2829
210,QATS-4,"[100,120],[845,865],[962,1002],[2265,2305],[2491,2561],[3052,3201],[3211,3273],[5082,5122],[5696,5736],[5779,5819],[5857,6030],[6037,6183],[6187,6227],[6398,6438],[6445,6607],[6622,6662],[6663,6723],[6753,6813],[6836,6953],[6982,7022],[7286,7356],[7360,7400],[7471,7784],[7988,8028],[8126,8166],[8199,8239],[8244,8432],[8448,8591],[8606,8749],[8793,8833],[8844,8911],[8997,9037],[9215,9255],[9437,9477],[9847,9887],[9958,9998],[10165,10231],[10263,10303],[10457,10497],[10710,10750],[11737,11777],[11784,11824],[11838,11905],[11913,12004],[13529,13571],[13636,13697],[13927,13987],[14062,14102],[14208,14248],[14399,14439],[14460,14500],[14513,14553],[14606,14721],[14731,14793],[14828,14868],[14903,15003],[15037,15105],[15279,15319],[15450,15490],[15790,15830],[16120,16160],[16213,16253],[16587,16627],[17211,17251],[17573,17613],[17625,17685],[17751,17819],[17901,17941],[18184,18251],[18287,18327],[18338,18405],[18413,18453],[18926,18966],[19160,19220],[19443,19593],[19605,19645],[19671,19731],[20026,20066],[20563,20603],[20637,20774],[20784,20902],[20922,21310],[21364,21404],[21407,21506],[21527,21567],[21586,21659],[21686,21776],[21797,21907],[22247,22287],[22435,22475],[22553,22593],[22672,22712],[22727,22798],[22962,23025],[23104,23144],[23225,23265],[23410,23556],[23570,23711],[23831,23871],[23929,23969],[23974,24014],[24027,24067],[24096,24292],[24324,24430],[24513,24582],[24698,24770],[24798,24884],[24920,24960],[25070,25110],[25111,25151],[25202,25271],[25305,25345],[25394,25472],[25523,25563],[25571,25611],[25615,25655],[25704,25744],[25751,25811],[25900,25940],[26008,26094],[26125,26165],[26170,26210],[26240,26359],[27103,27182],[27220,27280],[27281,27368],[27589,27641],[27989,28029],[28049,28089],[28510,28550],[28709,28889],[28891,28931],[28966,29121],[29161,29201],[29239,29371],[29397,29437],[29787,29827],[29909,29949],[30966,31006],[31061,31101],[31195,31235],[31248,31288],[31299,31489],[31596,31636],[31726,31766],[31936,31976],[32016,32056],[32084,32124],[32329,32369],[32473,32513],[32758,32798],[32809,32849],[33240,33332],[33351,33391]",109.4367
211,QATS-4,"[80,120],[123,257],[2266,2306],[2364,2404],[2528,2621],[2696,2904],[2919,3336],[3358,3422],[3563,3603],[3801,3841],[3908,3973],[4049,4116],[4884,4945],[5050,5090],[5849,5889],[5959,6022],[6023,6085],[6105,6145],[6151,6191],[6218,6319],[6322,6362],[6363,6403],[6523,6583],[6601,6641],[6959,7023],[7031,7095],[7220,7284],[7386,7463],[7492,7552],[7564,7672],[7682,7722],[7736,7776],[8017,8077],[8185,8225],[8226,8266],[8268,8328],[8331,8400],[8418,8458],[8459,8523],[8529,8589],[8607,8647],[8821,8970],[9292,9352],[9355,9547],[9553,9613],[9616,9716],[9742,9817],[9831,9905],[9908,10145],[10191,10231],[10232,10272],[10315,10468],[10483,10554],[10555,10595],[10792,10852],[10855,10955],[10981,11021],[11262,11322],[11344,11384],[11430,11470],[11486,11572],[11609,11649],[11797,11868],[11878,11978],[12004,12044],[12120,12160],[12193,12233],[12304,12344],[12383,12423],[12469,12549],[12742,12782],[12813,12853],[12858,13017],[13037,13102],[13343,13383],[13698,13738],[13762,13870],[13908,13968],[13969,14126],[14251,14321],[14595,14658],[14659,14760],[14778,14850],[14854,15046],[15050,15835],[15855,15895],[15913,15982],[16130,16170],[16906,16946],[16969,17009],[17213,17253],[17349,17389],[17390,17473],[17511,17684],[18296,18336],[18685,18797],[18816,18856],[18874,18914],[18923,18963],[19416,19476],[19570,19610],[19811,19886],[19953,19993],[21127,21167],[21219,21259],[21315,21423],[21490,21530],[22575,22686],[22737,22805],[22872,22912],[22982,23022],[23043,23083],[23227,23316],[23386,23426],[23667,23707],[24043,24193],[24194,24234],[24249,24289],[24299,24360]",60.3434
212,QATS-4,"[112,132],[190,210],[982,1023],[1163,1236],[1260,1300],[1352,1392],[1469,1558],[1870,1930],[4057,4117],[4196,4236],[4249,4289],[4332,4372],[4569,4645],[4696,4837],[4841,4881],[5593,5633],[5867,6074],[6124,6164],[6267,6307],[6368,6408],[6634,6674],[6873,6913],[6966,7006],[7014,7128],[7129,7169],[7223,7263],[7273,7313],[7315,7355],[7376,7445],[7781,7821],[7901,7941],[8166,8206],[8386,8446],[8505,8545],[9082,9122],[9194,9234],[9456,9496],[9516,9556],[9564,9629],[9698,9749],[10106,10146],[10325,10365],[10445,10485],[10949,10989],[11242,11282],[11499,11539],[11549,11704],[11708,11748],[11757,11797],[11990,12030],[12085,12125],[12229,12346],[12348,12388],[13019,13099],[13138,13178],[13389,13429],[13528,13626],[13758,13798],[13804,13873],[13876,13916],[13921,13961],[14016,14275],[14319,14543],[14552,14611],[14812,14852],[15146,15186],[15266,15306],[15335,15375],[15385,15425],[15538,15687],[15737,15817],[15828,15868],[15873,15938],[15939,15979],[16018,16079],[16098,16138],[16349,16389],[16411,16451],[16582,16622],[16874,16914],[17108,17197],[17297,17337],[17368,17435],[17559,17599],[17786,17826],[17960,18025],[18136,18196],[18683,18723],[19722,19762],[19767,19807],[19821,20309],[20312,20380],[20383,20541],[20583,20623],[20642,20793],[20809,21030],[21071,21111],[21702,21752],[21763,22019],[22239,22279],[22338,22405],[22429,22520],[22549,22589],[22709,22749],[23258,23337],[23397,23496],[23529,23569],[24038,24078],[24190,24230],[24430,24470],[24644,24705],[24775,24815],[24957,24997],[25077,25117],[25162,25237],[25399,25476],[25816,25899],[26043,26107],[26320,26360],[26584,26753],[26754,26794],[26809,26849],[26861,26901],[26910,26950],[27005,27045],[27195,27235],[27245,27285],[27367,27429],[27508,27548],[27677,27717],[28028,28068]",82.7703
